num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1321	1394.166879	122.915334	1.436336	1.561211	53.499329
1323	1396.242905	123.375288	1.362213	1.559811	55.533492
1325	1398.317471	122.711047	1.306910	1.561450	58.801668
1327	1400.392648	122.357776	1.183936	1.561200	58.912356
1329	1402.467439	122.671281	1.128254	1.560114	57.242571
1331	1404.542708	122.587608	1.082976	1.560065	55.469369
1333	1406.617288	122.822256	0.937503	1.559098	57.270066
1335	1408.691719	122.200376	0.824212	1.559824	55.191545
1337	1410.766045	121.714641	0.807930	1.560900	57.727070
1339	1412.840027	121.512857	0.695113	1.560508	54.996797
1341	1414.914258	121.371656	0.631470	1.562048	54.135876
1343	1416.988309	121.507846	0.556391	1.561699	53.432391
1345	1419.062612	120.315471	0.431562	1.562264	53.488961
1347	1421.137357	121.228227	0.315960	1.561108	53.777205
1349	1423.212317	121.177007	0.204106	1.560724	53.021220
1351	1425.288302	120.184584	0.176237	1.560220	53.061318
1353	1427.364000	120.096730	0.036916	1.560350	54.278442
1355	1429.439379	119.613058	-0.023079	1.561267	53.345202
1357	1431.514703	119.732465	-0.145291	1.559352	53.376941
1359	1433.589730	119.566166	-0.151898	1.559362	50.953477
1361	1435.664570	119.814084	-0.343985	1.557436	51.590479
1363	1437.739151	120.531508	-0.483460	1.557171	52.776219
1365	1439.813625	119.557124	-0.553912	1.558253	55.039316
1367	1441.888588	119.438495	-0.588499	1.557289	53.224983
1369	1443.963272	119.591129	-0.769261	1.557430	50.097679
1371	1446.038132	118.559330	-0.780895	1.557751	51.878566
1373	1448.112823	118.000617	-0.851096	1.558468	50.481108
1375	1450.187418	118.081010	-0.936829	1.558210	50.987045
1377	1452.262018	117.910767	-1.006575	1.558633	52.384577
1379	1454.336081	118.279664	-1.159748	1.557872	50.072123
1381	1456.410059	119.013256	-1.325060	1.555728	51.132861
1383	1458.483491	117.686101	-1.286975	1.555254	51.542529
1385	1460.557350	117.058197	-1.358398	1.553049	49.523824
1387	1462.631346	119.159104	-2.728539	1.544363	50.348048
1389	1464.705725	116.816006	-1.580964	1.551495	52.014078
1391	1466.780604	116.327606	-1.643178	1.552670	50.001989
1393	1468.855962	116.400861	-1.778041	1.551675	49.535965
1395	1470.930941	116.697566	-1.875589	1.552449	49.556006
1397	1473.005936	116.088119	-1.908286	1.552041	50.731194
1399	1475.080746	117.299685	-3.462565	1.540823	50.365880
1401	1477.155710	115.733113	-2.072376	1.550177	49.021803
1403	1479.230187	115.741126	-2.201725	1.549256	49.621237
1405	1481.304981	115.488827	-2.235608	1.549926	49.152171
1407	1483.378963	115.327695	-2.304490	1.548390	49.721704
1409	1485.453094	115.204656	-2.380525	1.548816	47.849602
1411	1487.527240	115.050211	-2.473249	1.548646	48.938683
1413	1489.601013	114.285020	-2.528947	1.548771	48.814397
1415	1491.675311	115.096216	-2.748561	1.548450	49.799607
1417	1493.750055	114.508987	-2.702371	1.546449	50.271964
